id,name,movieId
931,jealousy,862
4290,toy,862
5202,boy,862
6054,friendship,862
9713,friends,862
9823,rivalry,862
165503,boy next door,862
170722,new toy,862
187065,toy comes to life,862
10090,board game,8844
10941,disappearance,8844
15101,based on children's book,8844
33467,new home,8844
158086,recluse,8844
158091,giant insect,8844
1495,fishing,15602
12392,best friend,15602
179431,duringcreditsstinger,15602
208510,old men,15602
818,based on novel,31357
10131,interracial relationship,31357
14768,single mother,31357
15160,divorce,31357
33455,chick flick,31357
1009,baby,11862
1599,midlife crisis,11862
2246,confidence,11862
4995,aging,11862
5600,daughter,11862
10707,mother daughter relationship,11862
13149,pregnancy,11862
33358,contraception,11862
170521,gynecologist,11862
642,robbery,949
703,detective,949
974,bank,949
1523,obsession,949
3713,chase,949
7281,shooting,949
9727,thief,949
9812,honor,949
9826,murder,949
9937,suspense,949
10051,heist,949
10085,betrayal,949
10594,money,949
10726,gang,949
15076,cat and mouse,949
18023,criminal mastermind,949
34117,cult film,949
156121,ex-con,949
159343,heist movie,949
159434,one last job,949
167104,loner,949
192261,bank job,949
207268,neo-noir,949
208009,gun fight,949
214983,crime epic,949
90,paris,11860
380,brother brother relationship,11860
2072,chauffeur,11860
9398,long island,11860
9492,fusion,11860
33626,millionaire,11860
949,terrorist,9091
1562,hostage,9091
1653,explosive,9091
193533,vice president,9091
701,cuba,710
769,falsely accused,710
1308,secret identity,710
2812,computer virus,710
3268,secret base,710
3272,secret intelligence service,710
3278,kgb,710
3376,satellite,710
3531,special car,710
3560,cossack,710
3561,electromagnetic pulse,710
3562,time bomb,710
3563,st. petersburg russia,710
3564,ejection seat,710
193008,red army,710
833,white house,9087
840,usa president,9087
1605,new love,9087
33476,widower,9087
211505,wildlife conservation,9087
3633,dracula,12110
11931,spoof,12110
1994,wolf,21032
6411,dog-sledding race,21032
9880,alaska,21032
15162,dog,21032
15169,goose,21032
158175,bear attack,21032
158370,dog sled,21032
158371,frozen lake,21032
840,usa president,10858
2946,presidential election,10858
4240,watergate scandal,10858
5565,biography,10858
6086,government,10858
6165,historical figure,10858
911,exotic island,1408
1454,treasure,1408
1969,map,1408
3799,ship,1408
5470,scalp,1408
12988,pirate,1408
383,poker,524
726,drug abuse,524
1228,1970s,524
2635,overdose,524
33625,illegal prostitution,524
420,bowling,4584
818,based on novel,4584
964,servant,4584
2755,country life,4584
7564,jane austen,4584
10911,inheritance,4584
11109,military officer,4584
15060,period drama,4584
156507,rainstorm,4584
156510,horse and carriage,4584
156512,decorum,4584
612,hotel,5
613,new year's eve,5
616,witch,5
622,bet,5
922,hotel room,5
2700,sperm,5
12670,los angeles,5
160488,hoodlum,5
187056,woman director,5
198129,episode film,5
409,africa,9273
1551,indigenous,9273
2526,human animal relationship,9273
5155,bat,9273
380,brother brother relationship,11517
1552,subway,11517
14512,new york city,11517
155735,new york subway,11517
156120,train robbery,11517
395,gambling,8012
416,miami,8012
818,based on novel,8012
8438,job,8012
9826,murder,8012
9935,travel,8012
10391,mafia,8012
10594,money,8012
11061,debt,8012
11578,mobster,8012
12094,business,8012
12396,hollywood,8012
13142,gangster,8012
14536,crime,8012
14819,violence,8012
14964,drug,8012
33879,producer,8012
159608,con,8012
796,police brutality,1710
2800,psychology,1710
4668,police operation,1710
5430,police protection,1710
10714,serial killer,1710
11268,psychologist,1710
13001,cowardliness,1710
271,competition,9691
441,assassination,9691
591,cia,9691
974,bank,9691
977,cat,9691
1666,mexican standoff,9691
2350,seattle,9691
2708,hitman,9691
3045,mission of murder,9691
3979,hidden camera,9691
9823,rivalry,9691
10084,rescue,9691
10950,shootout,9691
11148,police chase,9691
12355,sniper rifle,9691
18107,silencer,9691
33456,double cross,9691
167861,caribbean,9691
178929,detroit michigan,9691
10624,bully,36929
312,man vs machine,9102
10158,alien planet,9102
15354,struggle for survival,9102
7345,dead animal,12665
11325,shot to death,12665
18068,teenage boy,12665
18320,held at gunpoint,12665
41355,teacher student relationship,12665
163531,albino,12665
163533,fainting,12665
163534,jacobs ladder,12665
163540,christ allegory,12665
163543,psionic power,12665
163545,healing power,12665
163552,looking pale,12665
163553,flickering light,12665
163558,extrasensory perception,12665
30,individual,451
549,prostitute,451
567,alcohol,451
585,casino,451
699,love at first sight,451
725,lovesickness,451
887,film producer,451
888,screenwriter,451
922,hotel room,451
3737,dying and death,451
3927,rage and hate,451
6059,unsociability,451
7464,alcoholism,451
12670,los angeles,451
15237,alcohol abuse,451
155793,attempted suicide,451
497,shakespeare,16420
931,jealousy,16420
9713,friends,16420
17982,moor,16420
1228,1970s,9263
5248,female friendship,9263
10683,coming of age,9263
170521,gynecologist,9263
170533,photocopier,9263
170539,truth or dare,9263
187056,woman director,9263
1316,captain,17015
33384,napoleonic wars,17015
33386,old flame,17015
33388,admiral,17015
402,clone,902
1566,dream,902
2041,island,902
4484,eye,902
4565,dystopia,902
4995,aging,902
6054,friendship,902
10084,rescue,902
10103,children,902
14659,girl,902
157955,childhood,902
964,servant,37557
2311,cabaret,37557
2682,shanghai,37557
2992,diva,37557
6464,uncle,37557
11869,mistress,37557
41277,umbrella,37557
897,rap music,9909
3436,karate,9909
6270,high school,9909
6610,naval officer,9909
10508,teacher,9909
155582,amusement park,9909
222,schizophrenia,63
276,philadelphia,63
277,cassandra syndrom,63
278,stockholm syndrome,63
4379,time travel,63
4458,post-apocalyptic,63
4565,dystopia,63
14675,lethal virus,63
15149,monkey,63
162801,subterranean,63
3020,sheep,9598
4931,pig,9598
5608,affection,9598
8082,piglet,9598
11115,heroism,9598
11477,talking animal,9598
18013,separation,9598
33671,german shepherd,9598
158019,grandson,9598
206052,talking pig,9598
392,england,47018
437,painter,47018
8997,conscientious objector,47018
10183,independent film,47018
13065,soldier,47018
378,prison,687
570,rape,687
1952,socially deprived family,687
2060,penalty,687
2122,death penalty,687
2300,despair,687
2501,death row,687
2538,begnadigung,687
2726,therapist,687
2796,self-discovery,687
2885,prison cell,687
3012,court case,687
3437,death sentence,687
3440,doomed man,687
3441,sentence,687
3442,lethal injection,687
3446,forgiveness,687
3447,charity,687
3448,mercy petition,687
3927,rage and hate,687
6059,unsociability,687
6145,right and justice,687
6148,court,687
11263,electric chair,687
13001,cowardliness,687
13014,orphan,33689
204353,identical twin,33689
1525,puberty,9603
6270,high school,9603
6664,make a match,9603
7208,spoiled child,9603
10199,gay interest,9603
11933,conflict,9603
187056,woman director,9603
3644,south africa,34615
392,england,31174
497,shakespeare,31174
1930,kidnapping,31174
9826,murder,31174
13084,king,31174
10594,money,11443
11254,loss of virginity,11443
159640,hiding in a dumpster,11443
159643,mercy killing,11443
